Category, Population, Alpha, Beta, KS Dstat, KS pvalue, KS Neutral Dstat, KS Neutral pvalue, Number
Synonymous, African, 0.17588, 4.60501, 0.2976, 0.000000, 0.0181, 0.385782, 2514
Nonsynonymous, African, 0.16626, 6.89962, 0.3550, 0.000000, 0.0020, 0.772193, 112486
Synonymous, Latino, 0.15364, 5.85938, 0.3438, 0.000000, 0.0145, 0.514587, 3201
Nonsynonymous, Latino, 0.14597, 7.32070, 0.3986, 0.000000, 0.0018, 0.728482, 146061
Synonymous, Ashkenazi Jewish, 0.20884, 2.02314, 0.1823, 0.000000, 0.0284, 0.547027, 793
Nonsynonymous, Ashkenazi Jewish, 0.17933, 2.27288, 0.2495, 0.000000, 0.0101, 0.008978, 26757
Synonymous, East Asian, 0.15514, 3.59346, 0.3570, 0.000000, 0.0163, 0.625428, 2132
Nonsynonymous, East Asian, 0.14746, 4.83043, 0.4050, 0.000000, 0.0036, 0.167201, 96999
Synonymous, European (Finnish), 0.17022, 1.93190, 0.2232, 0.000000, 0.0247, 0.635355, 913
Nonsynonymous, European (Finnish), 0.14901, 2.58641, 0.3144, 0.000000, 0.0064, 0.089395, 37821
Synonymous, European (non-Finnish), 0.13126, 9.14712, 0.4145, 0.000000, 0.0086, 0.757038, 6118
Nonsynonymous, European (non-Finnish), 0.12910, 13.13559, 0.4505, 0.000000, 0.0016, 0.384538, 316809
Synonymous, South Asian, 0.14905, 5.60253, 0.3745, 0.000000, 0.0134, 0.576053, 3373
Nonsynonymous, South Asian, 0.14579, 7.81506, 0.4112, 0.000000, 0.0023, 0.356061, 155758
