Category, Population, Alpha, Beta, KS Dstat, KS pvalue, KS Neutral Dstat, KS Neutral pvalue, Number
Synonymous, African, 0.15765, 2.67156, 0.3171, 0.000000, 0.0094, 0.998499, 1654
Nonsynonymous, African, 0.16391, 6.01046, 0.3514, 0.000000, 0.0040, 0.082996, 98832
Synonymous, Latino, 0.13813, 3.39161, 0.3736, 0.000000, 0.0101, 0.982699, 2109
Nonsynonymous, Latino, 0.14259, 5.99637, 0.3996, 0.000000, 0.0021, 0.626048, 128271
Synonymous, Ashkenazi Jewish, 0.18340, 1.24950, 0.2039, 0.000000, 0.0566, 0.099941, 462
Nonsynonymous, Ashkenazi Jewish, 0.18040, 2.05444, 0.2395, 0.000000, 0.0056, 0.440976, 24353
Synonymous, East Asian, 0.14257, 2.34988, 0.3828, 0.000000, 0.0188, 0.739123, 1321
Nonsynonymous, East Asian, 0.14696, 4.52638, 0.4033, 0.000000, 0.0023, 0.745220, 84269
Synonymous, European (Finnish), 0.15120, 1.13663, 0.2490, 0.000000, 0.0521, 0.085735, 574
Nonsynonymous, European (Finnish), 0.15034, 2.31497, 0.3019, 0.000000, 0.0051, 0.359548, 33172
Synonymous, European (non-Finnish), 0.11482, 3.84351, 0.4455, 0.000000, 0.0126, 0.510844, 4248
Nonsynonymous, European (non-Finnish), 0.12539, 10.52260, 0.4539, 0.000000, 0.0017, 0.354332, 284812
Synonymous, South Asian, 0.13717, 3.57599, 0.3911, 0.000000, 0.0165, 0.564979, 2284
Nonsynonymous, South Asian, 0.14177, 6.22653, 0.4137, 0.000000, 0.0016, 0.878522, 136967
