Category, Population, Alpha, Beta, KS Dstat, KS pvalue, KS Neutral Dstat, KS Neutral pvalue, Number
Synonymous, African, 0.16404, 3.77558, 0.3132, 0.000000, 0.0160, 0.324895, 3524
Nonsynonymous, African, 0.16603, 6.18355, 0.3489, 0.000000, 0.0019, 0.497790, 194748
Synonymous, Latino, 0.14468, 4.98238, 0.3755, 0.000000, 0.0205, 0.041482, 4628
Nonsynonymous, Latino, 0.15150, 8.73896, 0.3892, 0.000000, 0.0011, 0.900980, 255202
Synonymous, Ashkenazi Jewish, 0.19730, 2.03981, 0.2000, 0.000000, 0.0342, 0.189800, 997
Nonsynonymous, Ashkenazi Jewish, 0.18772, 2.49101, 0.2297, 0.000000, 0.0053, 0.130954, 48398
Synonymous, East Asian, 0.14918, 3.55591, 0.3849, 0.000000, 0.0089, 0.975699, 2900
Nonsynonymous, East Asian, 0.15301, 5.71073, 0.3962, 0.000000, 0.0020, 0.505803, 167356
Synonymous, European (Finnish), 0.15989, 1.90342, 0.2664, 0.000000, 0.0251, 0.422333, 1217
Nonsynonymous, European (Finnish), 0.15513, 2.79451, 0.3001, 0.000000, 0.0033, 0.476522, 66845
Synonymous, European (non-Finnish), 0.12471, 7.73843, 0.4361, 0.000000, 0.0083, 0.553849, 9102
Nonsynonymous, European (non-Finnish), 0.13287, 15.03192, 0.4437, 0.000000, 0.0013, 0.329713, 535847
Synonymous, South Asian, 0.14660, 5.88317, 0.3886, 0.000000, 0.0170, 0.127299, 4771
Nonsynonymous, South Asian, 0.15098, 9.16489, 0.4030, 0.000000, 0.0015, 0.560557, 269167
