Category, Population, Alpha, Beta, KS Dstat, KS pvalue, KS Neutral Dstat, KS Neutral pvalue, Number
Synonymous, African, 0.16671, 3.28871, 0.2938, 0.000000, 0.0208, 0.146328, 3017
Nonsynonymous, African, 0.16454, 6.35191, 0.3553, 0.000000, 0.0014, 0.927392, 161431
Synonymous, Latino, 0.13605, 3.02581, 0.3813, 0.000000, 0.0197, 0.085712, 4073
Nonsynonymous, Latino, 0.14253, 6.23790, 0.4015, 0.000000, 0.0016, 0.672103, 211246
Synonymous, Ashkenazi Jewish, 0.19007, 1.30826, 0.1955, 0.000000, 0.0237, 0.699081, 887
Nonsynonymous, Ashkenazi Jewish, 0.17534, 1.97766, 0.2518, 0.000000, 0.0052, 0.236160, 38992
Synonymous, East Asian, 0.14940, 3.03552, 0.3777, 0.000000, 0.0117, 0.870831, 2572
Nonsynonymous, East Asian, 0.14615, 4.58305, 0.4080, 0.000000, 0.0035, 0.061061, 138570
Synonymous, European (Finnish), 0.16793, 1.45835, 0.2248, 0.000000, 0.0223, 0.694594, 1012
Nonsynonymous, European (Finnish), 0.14805, 2.31573, 0.3117, 0.000000, 0.0033, 0.576273, 54554
Synonymous, European (non-Finnish), 0.11824, 4.20094, 0.4390, 0.000000, 0.0080, 0.712687, 7632
Nonsynonymous, European (non-Finnish), 0.12492, 10.08335, 0.4555, 0.000000, 0.0011, 0.598395, 458530
Synonymous, South Asian, 0.13520, 3.09116, 0.3889, 0.000000, 0.0130, 0.471564, 4240
Nonsynonymous, South Asian, 0.14148, 6.36362, 0.4155, 0.000000, 0.0021, 0.273854, 225784
