Category, Population, Alpha, Beta, KS Dstat, KS pvalue, KS Neutral Dstat, KS Neutral pvalue, Number
Synonymous, African, 0.16515, 4.21014, 0.3308, 0.000000, 0.0116, 0.869055, 2664
Nonsynonymous, African, 0.16557, 6.77320, 0.3555, 0.000000, 0.0032, 0.066837, 161444
Synonymous, Latino, 0.15038, 6.51205, 0.3700, 0.000000, 0.0120, 0.694663, 3483
Nonsynonymous, Latino, 0.14721, 7.86552, 0.3982, 0.000000, 0.0016, 0.651731, 210309
Synonymous, Ashkenazi Jewish, 0.19420, 2.33528, 0.2363, 0.000000, 0.0292, 0.566966, 727
Nonsynonymous, Ashkenazi Jewish, 0.17912, 2.22305, 0.2483, 0.000000, 0.0029, 0.908271, 37993
Synonymous, East Asian, 0.14000, 2.48979, 0.3886, 0.000000, 0.0251, 0.128202, 2172
Nonsynonymous, East Asian, 0.14825, 5.17805, 0.4096, 0.000000, 0.0026, 0.311502, 139232
Synonymous, European (Finnish), 0.16353, 2.63670, 0.2880, 0.000000, 0.0313, 0.327374, 911
Nonsynonymous, European (Finnish), 0.14902, 2.54726, 0.3131, 0.000000, 0.0058, 0.053651, 53874
Synonymous, European (non-Finnish), 0.12703, 8.64564, 0.4321, 0.000000, 0.0085, 0.729628, 6637
Nonsynonymous, European (non-Finnish), 0.12855, 12.73725, 0.4519, 0.000000, 0.0018, 0.112710, 457175
Synonymous, South Asian, 0.14526, 5.70099, 0.3943, 0.000000, 0.0086, 0.958792, 3467
Nonsynonymous, South Asian, 0.14564, 7.83837, 0.4122, 0.000000, 0.0011, 0.958435, 224427
