Category, Population, Alpha, Beta, KS Dstat, KS pvalue, KS Neutral Dstat, KS Neutral pvalue, Number
Synonymous, African, 0.17065, 4.56381, 0.3217, 0.000000, 0.0185, 0.703613, 1451
Nonsynonymous, African, 0.16497, 6.61261, 0.3574, 0.000000, 0.0016, 0.864360, 137956
Synonymous, Latino, 0.14189, 4.01629, 0.3846, 0.000000, 0.0217, 0.344004, 1862
Nonsynonymous, Latino, 0.14425, 6.76109, 0.4012, 0.000000, 0.0017, 0.695432, 180460
Synonymous, Ashkenazi Jewish, 0.18458, 1.50470, 0.2297, 0.000000, 0.0309, 0.777652, 455
Nonsynonymous, Ashkenazi Jewish, 0.18028, 2.17635, 0.2426, 0.000000, 0.0047, 0.447754, 33259
Synonymous, East Asian, 0.13935, 2.04514, 0.3837, 0.000000, 0.0182, 0.791183, 1282
Nonsynonymous, East Asian, 0.14679, 4.69656, 0.4064, 0.000000, 0.0024, 0.523840, 118522
Synonymous, European (Finnish), 0.16083, 1.22538, 0.2359, 0.000000, 0.0497, 0.186898, 474
Nonsynonymous, European (Finnish), 0.15054, 2.47750, 0.3047, 0.000000, 0.0063, 0.049119, 45968
Synonymous, European (non-Finnish), 0.12147, 5.46955, 0.4346, 0.000000, 0.0130, 0.557800, 3733
Nonsynonymous, European (non-Finnish), 0.12698, 11.77533, 0.4546, 0.000000, 0.0025, 0.016704, 397380
Synonymous, South Asian, 0.14012, 3.97010, 0.3996, 0.000000, 0.0145, 0.783128, 2033
Nonsynonymous, South Asian, 0.14345, 6.98350, 0.4132, 0.000000, 0.0027, 0.122114, 192123
